"旧相对路径","新相对路径","操作类型","原因","大小"
"09、高武\03、全球\《万族之劫》（校对版全本）.txt","","去重删除文件夹","重复副本整文件夹删除","18542118"
"09、高武\03、全球\《全球高武》（精校版全本）.txt","","去重删除文件夹","重复副本整文件夹删除","18649335"
"08、游戏\15、s落叶三部曲\《网游之天下无双》（校对版全本）.txt","","去重删除文件夹","重复副本整文件夹删除","10902236"
"08、游戏\15、s落叶三部曲\《网游之盗版神话》（校对版全本）.txt","","去重删除文件夹","重复副本整文件夹删除","5419906"
"08、游戏\15、s落叶三部曲\《网游之纵横天下》（校对版全本）.txt","","去重删除文件夹","重复副本整文件夹删除","9841674"
"08、游戏\32、超 神\《超神机械师》（校对版全本）.txt","","去重删除文件夹","重复副本整文件夹删除","11056364"
"14、轻小说\15、精 灵\《精 灵 掌 门 人》（校对版）.txt","","去重删除文件夹","重复副本整文件夹删除","8305185"
"02、仙侠\04、仙逆\《凡人修仙传》（校对版全本+番外）.txt","","去重删除文件","重复副本删除","15224548"
"02、仙侠\04、仙逆\《凡人修仙之仙界篇》（校对版全本）.txt","","去重删除文件","重复副本删除","9331772"
"15、女频\01、天 官\《天官赐福》(精校全本+番外)【无修改版】.txt","","去重删除文件","重复副本删除","2352763"
"01、玄幻\05、永生\《永生》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","3883733"
"01、玄幻\14、奥术\《奥术神座》（精校版全本+番外）.rar","","删除同名压缩包","与txt同名的rar删除","2759120"
"01、玄幻\15、人道\《人道至尊》（精校版全本）.rar","","删除同名压缩包","与txt同名的rar删除","4004617"
"01、玄幻\17、武道zs\《武道宗师》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","2345328"
"01、玄幻\19、长生j\《长生界》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","2365172"
"01、玄幻\20、大主z\《大主宰》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","3709008"
"01、玄幻\21、元z\《元尊》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","3016567"
"01、玄幻\22、魔兽剑圣\《魔兽剑圣异界纵横》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","1876252"
"01、玄幻\23、雪 鹰\《雪鹰领主》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","2909797"
"01、玄幻\25、间k\《间客》（精校版全本）.rar","","删除同名压缩包","与txt同名的rar删除","3001531"
"01、玄幻\26、将y\《将夜》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","3330227"
"01、玄幻\27、择tj\《择天记》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","2631794"
"01、玄幻\28、大道\《大道朝天》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","2597057"
"01、玄幻\29、朱雀\《朱雀记》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","1333270"
"01、玄幻\30、临渊\《临渊行》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","2917583"
"01、玄幻\32、神印wz\《神印王座》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","2091394"
"01、玄幻\33、天z变\《天珠变》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","2080617"
"01、玄幻\34、雪中hdx\《雪中悍刀行》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","4438629"
"02、仙侠\05、一念永恒\《一念永恒》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","2860382"
"02、仙侠\07、飞剑\《飞剑问道》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","1700140"
"02、仙侠\08、玄界zm\《玄界之门》（精校版全本）.rar","","删除同名压缩包","与txt同名的rar删除","2746950"
"02、仙侠\09、魔tj\《魔天记》（精校版全本）.rar","","删除同名压缩包","与txt同名的rar删除","4031767"
"02、仙侠\10、灭世TL\《灭运图录》（精校版全本）.rar","","删除同名压缩包","与txt同名的rar删除","2537287"
"02、仙侠\11、q魔\《求魔》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","3512724"
"02、仙侠\12、我欲ft\《我欲封天》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","3792329"
"02、仙侠\13、三寸rj\《三寸人间》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","3025524"
"02、仙侠\14、莽荒j\《莽荒纪》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","3385872"
"02、仙侠\16、寸芒\《寸芒》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","1433737"
"02、仙侠\17、星峰\《星峰传说》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","1185003"
"02、仙侠\18、大梦z\《大梦主》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","3762267"
"02、仙侠\19、dz\《帝尊》（校对版全本+番外）.rar","","删除同名压缩包","与txt同名的rar删除","4352320"
"02、仙侠\21、极道\《极道天魔》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","3581916"
"02、仙侠\22、诛仙\《诛仙》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","1338829"
"02、仙侠\23、大道\《大道争锋》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","6788400"
"02、仙侠\24、问道\《问道红尘(仙子请自重)》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","2790959"
"03、都市\04、我真\《我真没想重生啊》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","2655877"
"03、都市\08、我是\《w是dw家》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","1423243"
"03、都市\09、俗人hd\《俗人回档》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","3904819"
"03、都市\10、文艺sd\《文艺时代》（精校版全本）.rar","","删除同名压缩包","与txt同名的rar删除","2503923"
"03、都市\11、我的nysen\《我的女友是恶女》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","1656139"
"04、科幻\07、希灵\《希灵帝国》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","6946907"
"05、奇幻\02、琴di\《琴帝》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","2410009"
"05、奇幻\03、酒s\《酒神（阴阳冕）》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","2223652"
"05、奇幻\04、高天\《高天之上》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","3948588"
"05、奇幻\06、巫师zl\《巫师之旅》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","4289301"
"06、历史\04、宰执\《宰执天下》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","6917236"
"06、历史\06、极品jd\《极品家丁》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","2626364"
"08、游戏\05、失落叶三部曲\《网游之天下无双》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","4167420"
"08、游戏\05、失落叶三部曲\《网游之盗版神话》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","2235337"
"08、游戏\05、失落叶三部曲\《网游之纵横天下》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","3796809"
"17、其他\01、海贼王之mcgs\《海贼王之mcgs》（校对版全本）.rar","","删除同名压缩包","与txt同名的rar删除","554683"
"03、都市\50、稳 住\03.更多精品完本，可访问：www.nmzys.com\《未来图书馆》（校对版全本）作者：志鸟村.txt","03、都市\未来图书馆\《未来图书馆》（校对版全本）.txt","移动","广告子目录内书籍提升为独立文件夹","2652542"
"03、都市\50、稳 住\03.更多精品完本，可访问：www.nmzys.com\《时空走私从2000年开始》（校对版全本）作者：志鸟村.txt","03、都市\时空走私从2000年开始\《时空走私从2000年开始》（校对版全本）.txt","移动","广告子目录内书籍提升为独立文件夹","4411332"
"03、都市\50、稳 住\03.更多精品完本，可访问：www.nmzys.com\《唯我独法》（校对版全本）作者：志鸟村.txt","03、都市\唯我独法\《唯我独法》（校对版全本）.txt","移动","广告子目录内书籍提升为独立文件夹","4246854"
"01、玄幻\01、斗破\《斗破》（校对版全本）.txt","01、玄幻\01、斗破\《斗破》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","10800589"
"01、玄幻\02、斗罗\《斗罗大陆》（校对版全本）.txt","01、玄幻\02、斗罗\《斗罗大陆》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","5947282"
"01、玄幻\02、斗罗\《斗罗大陆III龙王传说》（校对版全本）.txt","01、玄幻\02、斗罗\《斗罗大陆III龙王传说》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","10354618"
"01、玄幻\02、斗罗\《斗罗大陆II绝世唐门》（校对版全本）.txt","01、玄幻\02、斗罗\《斗罗大陆II绝世唐门》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","10838897"
"01、玄幻\02、斗罗\《斗罗大陆IV终极斗罗》（校对版全本）.txt","01、玄幻\02、斗罗\《斗罗大陆IV终极斗罗》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","9131949"
"01、玄幻\03、完美\《完美世界》（校对版全本）.txt","01、玄幻\03、完美\《完美世界》（校对版全本）.txt","重命名","去除书名内空格/规范化版本标注","14245680"
"01、玄幻\04、诡秘\《诡秘之主》（精校版全本）.txt","01、玄幻\04、诡秘\《诡秘之主》（精校版全本）.txt","重命名","去除书名内空格/规范化版本标注","9589843"
